t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779571822831,1779571822867,128,1779571822821,1779571822821,delta,"0,0.05"
1779571822872,1779571822900,129,1779571822863,1779571822863,delta,"0,0.05"
1779571822914,1779571822941,130,1779571822904,1779571822904,delta,"0,0.05"
1779571822954,1779571822998,131,1779571822944,1779571822944,delta,"0,0.05"
1779571823002,1779571823031,132,1779571822992,1779571822992,delta,"0,0.05"
1779571823083,1779571823129,133,1779571823073,1779571823073,delta,"0,0.05"
1779571823086,1779571823129,134,1779571823077,1779571823077,delta,"0,0.05"
1779571823130,1779571823165,135,1779571823120,1779571823120,delta,"0,0.05"
1779571823170,1779571823207,136,1779571823160,1779571823160,delta,"0,0.05"
1779571823214,1779571823262,137,1779571823204,1779571823204,delta,"0,0.05"
1779571823249,1779571823262,138,1779571823238,1779571823238,delta,"0,0.05"
1779571823281,1779571823298,139,1779571823271,1779571823271,delta,"0,0.05"
1779571823313,1779571823338,140,1779571823304,1779571823304,delta,"0,0.05"
1779571823346,1779571823394,141,1779571823336,1779571823336,delta,"0,0.05"
1779571823380,1779571823394,142,1779571823369,1779571823369,delta,"0,0.05"
1779571823411,1779571823429,143,1779571823402,1779571823402,delta,"0,0.05"
1779571823446,1779571823468,144,1779571823435,1779571823436,delta,"0,0.05"
1779571823486,1779571823526,145,1779571823477,1779571823477,delta,"0,0.05"
1779571823517,1779571823526,146,1779571823507,1779571823507,delta,"0,0.05"
1779571823559,1779571823560,147,1779571823549,1779571823549,delta,"0,0.05"
1779571823590,1779571823602,148,1779571823580,1779571823580,delta,"0,0.05"
1779571823623,1779571823659,149,1779571823613,1779571823613,delta,"0,0.05"
1779571823663,1779571823693,150,1779571823653,1779571823653,delta,"0,0.05"
1779571823703,1779571823732,151,1779571823694,1779571823694,delta,"0,0.05"
1779571823743,1779571823789,152,1779571823733,1779571823733,delta,"0,0.05"
1779571823785,1779571823789,153,1779571823776,1779571823776,delta,"0,0.05"
1779571823825,1779571823861,154,1779571823815,1779571823815,delta,"0,0.05"
1779571823867,1779571823917,155,1779571823858,1779571823858,delta,"0,0.05"
1779571823907,1779571823917,156,1779571823897,1779571823897,delta,"0,0.05"
1779571823950,1779571823954,157,1779571823941,1779571823941,delta,"0,0.05"
1779571823987,1779571823992,158,1779571823977,1779571823977,delta,"0,0.05"
1779571824029,1779571824048,159,1779571824019,1779571824019,delta,"0,0.05"
